Column1,Column2,Category,Value,Month,Date,Name,Surname,Orientation
61,110,B,250,Sep,2021-01-31 04:47:44.173297,Jack,Miller,Bisexual
55,191,B,167,Apr,2019-11-07 04:47:44.173297,David,Smith,Gay
19,186,C,457,Jul,2019-06-18 04:47:44.173297,Jack,Davis,Pansexual
9,156,B,259,Jan,2022-12-03 04:47:44.173297,Charlie,Rodriguez,Bisexual
85,174,B,329,Nov,2023-02-10 04:47:44.173297,David,Martinez,Lesbian
81,171,C,104,Jun,2019-05-11 04:47:44.173297,Bob,Williams,Straight
85,115,B,450,May,2021-03-20 04:47:44.173297,Frank,Martinez,Pansexual
8,134,B,461,Jun,2022-01-06 04:47:44.173297,David,Miller,Straight
5,154,B,460,May,2019-05-30 04:47:44.173297,Henry,Johnson,Lesbian
26,142,C,166,Mar,2024-02-27 04:47:44.173297,Henry,Brown,Pansexual
75,191,C,205,May,2019-05-17 04:47:44.173297,Henry,Jones,Lesbian
68,78,A,383,Oct,2022-05-01 04:47:44.173297,Jack,Rodriguez,Gay
14,144,B,172,Jan,2023-12-25 04:47:44.173297,Grace,Garcia,Lesbian
47,149,B,447,Jul,2020-08-10 04:47:44.173297,Bob,Smith,Gay
23,112,A,257,Dec,2019-09-11 04:47:44.173297,Eva,Rodriguez,Bisexual
45,130,B,440,Aug,2020-10-05 04:47:44.173297,Bob,Brown,Gay
31,91,C,334,Apr,2023-06-22 04:47:44.173297,David,Davis,Bisexual
50,183,B,190,Aug,2023-10-24 04:47:44.173297,Eva,Garcia,Gay
74,121,B,215,Oct,2021-06-14 04:47:44.173297,Bob,Brown,Pansexual
24,60,A,353,Sep,2022-05-19 04:47:44.173297,Grace,Williams,Straight
34,140,B,117,Dec,2022-07-03 04:47:44.173297,Frank,Garcia,Bisexual
8,107,C,150,Aug,2023-02-17 04:47:44.173297,Frank,Johnson,Bisexual
13,164,B,483,Aug,2021-02-20 04:47:44.173297,Bob,Williams,Lesbian
6,159,B,388,Jul,2022-01-12 04:47:44.173297,Jack,Miller,Lesbian
71,198,C,339,Nov,2022-02-19 04:47:44.173297,Jack,Brown,Straight
10,153,A,184,Aug,2024-01-27 04:47:44.173297,Grace,Martinez,Bisexual
26,78,B,276,Jul,2022-11-16 04:47:44.173297,Grace,Garcia,Lesbian
89,139,B,375,Feb,2021-05-23 04:47:44.173297,Ivy,Martinez,Straight
91,145,C,379,Nov,2021-02-22 04:47:44.173297,Bob,Smith,Gay
3,115,C,213,Jan,2021-01-31 04:47:44.173297,Alice,Jones,Straight
96,154,B,125,Feb,2021-10-03 04:47:44.173297,Grace,Brown,Pansexual
72,147,C,422,Feb,2022-04-30 04:47:44.173297,Ivy,Davis,Pansexual
6,111,B,296,Jun,2022-10-19 04:47:44.173297,Henry,Smith,Lesbian
1,77,C,123,Jan,2023-12-14 04:47:44.173297,Henry,Johnson,Pansexual
10,56,A,151,Feb,2019-08-02 04:47:44.173297,Henry,Jones,Lesbian
3,85,B,191,Feb,2023-11-13 04:47:44.173297,Jack,Smith,Straight
54,130,C,469,Sep,2021-01-17 04:47:44.173297,Grace,Garcia,Pansexual
29,199,B,447,Jan,2020-12-20 04:47:44.173297,Bob,Garcia,Straight
28,96,A,292,Sep,2021-05-28 04:47:44.173297,Ivy,Garcia,Bisexual
46,88,C,438,May,2022-08-28 04:47:44.173297,David,Williams,Bisexual
10,126,A,104,Aug,2019-12-09 04:47:44.173297,Jack,Brown,Bisexual
1,82,B,293,Jan,2022-09-03 04:47:44.173297,Grace,Garcia,Pansexual
9,184,C,294,Nov,2019-03-31 04:47:44.173297,Jack,Brown,Straight
32,163,A,294,Oct,2020-04-19 04:47:44.173297,Alice,Smith,Pansexual
31,188,A,206,Mar,2023-11-07 04:47:44.173297,Bob,Garcia,Pansexual
53,174,A,442,Sep,2022-02-06 04:47:44.173297,Alice,Rodriguez,Pansexual
73,178,C,172,Apr,2023-04-08 04:47:44.173297,Bob,Williams,Pansexual
92,123,A,442,Mar,2023-09-04 04:47:44.173297,Charlie,Johnson,Gay
14,68,C,428,Oct,2020-10-15 04:47:44.173297,Eva,Martinez,Lesbian
58,95,A,389,Mar,2023-09-15 04:47:44.173297,Eva,Brown,Lesbian
34,145,A,181,Feb,2020-01-30 04:47:44.173297,Bob,Jones,Gay
95,155,B,410,Jan,2023-02-14 04:47:44.173297,Grace,Williams,Lesbian
21,66,B,224,Apr,2020-10-27 04:47:44.173297,Jack,Rodriguez,Lesbian
48,140,B,230,Oct,2022-04-03 04:47:44.173297,Jack,Miller,Bisexual
27,109,C,437,Jun,2023-03-23 04:47:44.173297,Frank,Williams,Straight
94,194,A,265,Sep,2020-07-14 04:47:44.173297,Charlie,Miller,Gay
11,76,C,304,Mar,2020-11-05 04:47:44.173297,David,Smith,Gay
61,172,A,215,Oct,2021-09-21 04:47:44.173297,Ivy,Garcia,Bisexual
59,57,C,494,Jul,2020-07-16 04:47:44.173297,Henry,Miller,Bisexual
69,174,C,167,Nov,2020-02-15 04:47:44.173297,Henry,Jones,Gay
38,143,C,348,Nov,2019-04-22 04:47:44.173297,Frank,Rodriguez,Bisexual
65,189,B,277,Mar,2022-08-15 04:47:44.173297,Alice,Garcia,Pansexual
41,107,B,138,Nov,2023-08-30 04:47:44.173297,Ivy,Martinez,Pansexual
16,198,B,392,Apr,2019-07-02 04:47:44.173297,Grace,Smith,Pansexual
58,54,B,154,Jul,2023-07-06 04:47:44.173297,Grace,Davis,Pansexual
85,65,B,241,Jun,2021-07-09 04:47:44.173297,David,Jones,Pansexual
3,95,B,220,Dec,2019-10-10 04:47:44.173297,Eva,Brown,Straight
98,173,A,245,Nov,2021-02-13 04:47:44.173297,Alice,Smith,Lesbian
43,125,A,317,Oct,2023-06-23 04:47:44.173297,Bob,Davis,Pansexual
31,63,A,397,Sep,2023-12-26 04:47:44.173297,Bob,Davis,Straight
45,141,B,434,Mar,2023-01-16 04:47:44.173297,Henry,Williams,Lesbian
22,153,A,136,May,2019-09-27 04:47:44.173297,Jack,Davis,Straight
56,181,A,422,Feb,2023-08-10 04:47:44.173297,Henry,Johnson,Pansexual
95,156,C,260,Sep,2021-09-16 04:47:44.173297,Frank,Rodriguez,Gay
30,61,A,463,Mar,2023-07-01 04:47:44.173297,Frank,Smith,Pansexual
47,79,A,225,Jun,2022-08-26 04:47:44.173297,Henry,Garcia,Pansexual
68,155,C,247,Aug,2021-09-01 04:47:44.173297,Frank,Martinez,Lesbian
25,59,C,363,Jan,2019-11-30 04:47:44.173297,Grace,Jones,Straight
52,67,C,346,Apr,2022-08-08 04:47:44.173297,David,Davis,Straight
68,55,A,350,Jun,2022-02-21 04:47:44.173297,Eva,Williams,Bisexual
52,75,B,415,Nov,2024-02-10 04:47:44.173297,Grace,Johnson,Bisexual
13,164,B,367,Jan,2021-01-01 04:47:44.173297,Alice,Jones,Pansexual
19,186,A,475,Mar,2020-09-27 04:47:44.173297,Ivy,Davis,Lesbian
81,148,B,446,Jun,2022-01-25 04:47:44.173297,Ivy,Rodriguez,Lesbian
57,178,C,189,Mar,2020-10-09 04:47:44.173297,Charlie,Miller,Lesbian
3,61,C,259,Jul,2020-11-17 04:47:44.173297,Frank,Davis,Gay
82,193,C,401,May,2021-02-11 04:47:44.173297,Henry,Jones,Lesbian
48,109,C,292,Nov,2019-11-24 04:47:44.173297,Charlie,Martinez,Lesbian
27,195,B,276,Oct,2021-05-27 04:47:44.173297,Charlie,Martinez,Bisexual
55,122,A,305,Sep,2021-06-13 04:47:44.173297,Henry,Rodriguez,Lesbian
49,90,A,186,Jul,2020-02-09 04:47:44.173297,Eva,Williams,Bisexual
77,164,B,338,Aug,2022-11-02 04:47:44.173297,Bob,Smith,Bisexual
91,73,A,462,Oct,2023-03-13 04:47:44.173297,Charlie,Martinez,Gay
45,183,C,328,Mar,2023-09-18 04:47:44.173297,Frank,Williams,Gay
27,151,A,442,Jul,2019-07-01 04:47:44.173297,Grace,Brown,Gay
40,96,C,462,Jan,2022-01-19 04:47:44.173297,Jack,Johnson,Lesbian
18,87,C,231,Aug,2022-05-13 04:47:44.173297,Grace,Williams,Gay
24,179,C,357,Jun,2021-06-10 04:47:44.173297,David,Miller,Straight
48,91,A,480,Mar,2021-04-18 04:47:44.173297,Jack,Garcia,Lesbian
16,107,B,409,Mar,2022-03-31 04:47:44.173297,Ivy,Rodriguez,Gay
75,137,A,144,Jul,2022-07-23 04:47:44.173297,Grace,Garcia,Bisexual
79,157,A,458,Apr,2021-12-19 04:47:44.173297,Jack,Williams,Bisexual
47,145,C,495,Jun,2024-01-23 04:47:44.173297,Charlie,Jones,Gay
61,194,B,238,Jul,2021-09-11 04:47:44.173297,David,Johnson,Gay
47,55,C,198,Jun,2024-01-24 04:47:44.173297,Jack,Jones,Lesbian
49,156,B,104,Sep,2019-09-23 04:47:44.173297,Alice,Jones,Lesbian
42,170,B,341,Dec,2021-01-13 04:47:44.173297,Frank,Davis,Lesbian
12,129,C,322,Feb,2019-06-23 04:47:44.173297,Charlie,Smith,Lesbian
1,80,A,115,Aug,2023-02-05 04:47:44.173297,David,Miller,Straight
32,155,C,423,Dec,2021-12-13 04:47:44.173297,Ivy,Jones,Straight
12,128,B,108,May,2023-02-03 04:47:44.173297,David,Garcia,Gay
18,159,A,475,Apr,2023-10-25 04:47:44.173297,Charlie,Garcia,Gay
75,55,C,433,Sep,2020-01-08 04:47:44.173297,Henry,Miller,Straight
97,124,C,441,May,2020-11-10 04:47:44.173297,Alice,Rodriguez,Gay
90,186,A,398,Jul,2023-05-16 04:47:44.173297,Eva,Brown,Straight
50,158,C,400,Aug,2020-12-17 04:47:44.173297,Grace,Rodriguez,Bisexual
28,170,C,170,Sep,2023-09-15 04:47:44.173297,David,Miller,Bisexual
46,143,C,270,Jun,2023-02-09 04:47:44.173297,David,Smith,Lesbian
12,96,A,136,Mar,2021-11-29 04:47:44.173297,Grace,Johnson,Gay
46,132,B,193,Jan,2021-06-20 04:47:44.173297,Grace,Garcia,Pansexual
9,56,A,143,Jun,2021-11-08 04:47:44.173297,Jack,Brown,Bisexual
15,72,C,405,Feb,2021-12-20 04:47:44.173297,Bob,Garcia,Pansexual
91,153,C,270,Nov,2023-05-11 04:47:44.173297,Frank,Johnson,Lesbian
16,139,C,109,Aug,2019-08-07 04:47:44.173297,David,Johnson,Bisexual
22,85,B,379,Dec,2024-02-22 04:47:44.173297,Henry,Jones,Pansexual
66,120,B,297,Feb,2023-03-16 04:47:44.173297,Bob,Miller,Gay
57,104,B,314,Aug,2019-12-28 04:47:44.173297,Frank,Davis,Bisexual
28,121,C,404,Aug,2019-07-10 04:47:44.173297,Jack,Brown,Lesbian
94,183,A,156,Mar,2020-06-13 04:47:44.173297,Henry,Johnson,Straight
63,76,B,481,Sep,2021-03-13 04:47:44.173297,Alice,Brown,Bisexual
52,136,C,451,Dec,2020-02-28 04:47:44.173297,Jack,Smith,Bisexual
56,159,A,264,Oct,2022-10-31 04:47:44.173297,Alice,Johnson,Lesbian
62,103,A,179,Apr,2019-09-03 04:47:44.173297,David,Williams,Pansexual
11,88,C,359,Oct,2023-08-05 04:47:44.173297,Charlie,Rodriguez,Gay
31,73,A,355,May,2020-04-15 04:47:44.173297,Jack,Johnson,Pansexual
33,197,C,462,Nov,2019-06-29 04:47:44.173297,Charlie,Rodriguez,Lesbian
89,63,B,496,Dec,2023-08-21 04:47:44.173297,Ivy,Martinez,Bisexual
57,120,B,479,Apr,2021-11-23 04:47:44.173297,David,Jones,Pansexual
8,63,C,282,May,2022-12-26 04:47:44.173297,Jack,Garcia,Pansexual
95,189,A,331,Oct,2021-06-11 04:47:44.173297,Bob,Miller,Pansexual
54,51,C,427,Aug,2022-04-11 04:47:44.173297,David,Martinez,Pansexual
8,52,A,340,Mar,2020-03-19 04:47:44.173297,Charlie,Brown,Gay
64,107,C,420,Feb,2021-08-05 04:47:44.173297,Eva,Garcia,Gay
39,194,C,241,Aug,2020-05-18 04:47:44.173297,Jack,Johnson,Pansexual
99,116,C,378,Jan,2023-08-30 04:47:44.173297,Grace,Martinez,Pansexual
89,84,A,148,Jun,2019-10-07 04:47:44.173297,Eva,Martinez,Bisexual
16,191,B,257,Sep,2021-11-03 04:47:44.173297,Charlie,Miller,Bisexual
20,61,B,312,Aug,2020-05-14 04:47:44.173297,Ivy,Smith,Pansexual
96,197,B,176,Oct,2020-04-09 04:47:44.173297,Jack,Rodriguez,Pansexual
81,134,B,332,Jun,2024-02-25 04:47:44.173297,Frank,Martinez,Gay
6,165,C,393,Apr,2022-05-08 04:47:44.173297,Frank,Smith,Straight
52,87,A,445,Jul,2023-05-13 04:47:44.173297,Ivy,Williams,Lesbian
63,165,C,428,Aug,2023-03-20 04:47:44.173297,Ivy,Miller,Pansexual
31,192,C,362,Jun,2019-10-14 04:47:44.173297,David,Rodriguez,Pansexual
58,149,A,411,Oct,2019-08-13 04:47:44.173297,Henry,Rodriguez,Straight
85,89,A,454,Apr,2022-07-12 04:47:44.173297,Charlie,Smith,Lesbian
67,133,C,253,May,2019-08-19 04:47:44.173297,Jack,Davis,Gay
45,100,C,251,Sep,2021-11-05 04:47:44.173297,Jack,Rodriguez,Gay
96,118,A,348,Jul,2022-06-30 04:47:44.173297,Ivy,Smith,Pansexual
43,130,A,151,Apr,2021-07-21 04:47:44.173297,Charlie,Williams,Pansexual
98,189,C,431,Jan,2019-08-27 04:47:44.173297,Frank,Garcia,Straight
39,61,A,304,Sep,2022-12-06 04:47:44.173297,Jack,Brown,Lesbian
69,114,B,144,Apr,2023-11-25 04:47:44.173297,Eva,Miller,Pansexual
5,183,C,399,Sep,2023-04-22 04:47:44.173297,Jack,Martinez,Lesbian
25,159,C,209,Jun,2020-01-14 04:47:44.173297,Frank,Rodriguez,Lesbian
65,132,A,121,Apr,2020-12-16 04:47:44.173297,Alice,Williams,Straight
51,186,A,175,Jul,2024-01-19 04:47:44.173297,Alice,Miller,Bisexual
65,57,B,445,Sep,2023-12-04 04:47:44.173297,Frank,Brown,Bisexual
53,59,C,262,Jun,2024-01-29 04:47:44.173297,Bob,Rodriguez,Gay
90,60,B,429,Feb,2021-02-27 04:47:44.173297,Frank,Brown,Straight
26,90,B,386,Nov,2022-08-23 04:47:44.173297,Frank,Rodriguez,Lesbian
52,66,A,257,Nov,2022-08-04 04:47:44.173297,Frank,Johnson,Lesbian
28,171,A,178,Aug,2019-03-30 04:47:44.173297,Bob,Martinez,Pansexual
90,74,A,239,Feb,2019-09-24 04:47:44.173297,Grace,Miller,Bisexual
49,97,C,103,Mar,2021-06-10 04:47:44.173297,Eva,Garcia,Gay
11,148,B,157,Nov,2019-10-24 04:47:44.173297,David,Johnson,Pansexual
18,157,A,166,Jun,2023-10-19 04:47:44.173297,Charlie,Johnson,Gay
93,59,C,223,Oct,2021-05-22 04:47:44.173297,Eva,Williams,Bisexual
12,60,A,243,Dec,2023-01-04 04:47:44.173297,Grace,Garcia,Pansexual
25,85,A,329,Sep,2022-05-15 04:47:44.173297,Bob,Garcia,Lesbian
97,184,B,141,Sep,2023-10-07 04:47:44.173297,Frank,Davis,Bisexual
68,67,C,488,Jul,2024-01-02 04:47:44.173297,Henry,Garcia,Straight
27,159,A,364,Jul,2022-01-19 04:47:44.173297,David,Martinez,Bisexual
19,160,A,192,Jul,2020-02-03 04:47:44.173297,Jack,Williams,Bisexual
66,91,A,190,Jun,2022-08-16 04:47:44.173297,Ivy,Rodriguez,Straight
34,154,A,106,Jun,2023-07-11 04:47:44.173297,Bob,Davis,Pansexual
14,125,B,263,May,2021-09-18 04:47:44.173297,Ivy,Smith,Lesbian
53,156,A,299,Aug,2019-07-12 04:47:44.173297,Henry,Smith,Pansexual
27,81,A,264,Mar,2024-01-28 04:47:44.173297,Jack,Brown,Gay
78,58,B,162,Apr,2020-10-24 04:47:44.173297,David,Miller,Bisexual
85,142,B,195,Aug,2019-08-10 04:47:44.173297,Alice,Williams,Pansexual
89,143,B,462,Apr,2020-12-30 04:47:44.173297,David,Williams,Straight
31,119,C,161,Feb,2022-06-30 04:47:44.173297,Charlie,Jones,Straight
70,192,C,349,Mar,2021-02-14 04:47:44.173297,Frank,Martinez,Pansexual
31,80,C,418,Oct,2021-01-12 04:47:44.173297,Grace,Martinez,Gay
51,146,B,361,Aug,2024-02-23 04:47:44.173297,Charlie,Davis,Lesbian
91,196,B,143,Mar,2020-01-04 04:47:44.173297,Bob,Jones,Pansexual
43,96,B,161,Aug,2024-03-06 04:47:44.173297,Jack,Martinez,Gay
41,85,C,304,Jan,2019-04-03 04:47:44.173297,Bob,Rodriguez,Gay
88,165,A,484,Oct,2023-03-29 04:47:44.173297,Ivy,Rodriguez,Lesbian
16,161,A,411,Nov,2019-06-28 04:47:44.173297,Henry,Williams,Lesbian
75,52,B,474,Apr,2022-01-09 04:47:44.173297,Charlie,Garcia,Pansexual
47,83,B,238,Aug,2020-02-16 04:47:44.173297,Grace,Brown,Pansexual
14,111,C,241,Apr,2022-03-13 04:47:44.173297,Eva,Miller,Bisexual
24,192,C,104,Jun,2020-02-14 04:47:44.173297,Henry,Garcia,Straight
99,124,A,247,Sep,2019-08-16 04:47:44.173297,Henry,Garcia,Straight
84,78,B,280,Oct,2022-09-20 04:47:44.173297,Frank,Martinez,Pansexual
37,190,C,354,Jul,2021-11-08 04:47:44.173297,Alice,Rodriguez,Pansexual
66,61,B,355,Sep,2019-05-17 04:47:44.173297,Jack,Johnson,Straight
88,116,C,288,Feb,2019-09-26 04:47:44.173297,David,Rodriguez,Pansexual
77,94,C,467,Jun,2020-02-29 04:47:44.173297,Bob,Brown,Pansexual
36,163,C,444,Jul,2022-05-17 04:47:44.173297,Grace,Rodriguez,Pansexual
41,191,A,126,May,2020-12-24 04:47:44.173297,Alice,Jones,Lesbian
39,172,A,191,Dec,2024-01-07 04:47:44.173297,Henry,Johnson,Pansexual
56,106,B,415,Nov,2022-07-10 04:47:44.173297,David,Garcia,Bisexual
15,155,B,361,Feb,2024-02-17 04:47:44.173297,Henry,Jones,Lesbian
27,160,C,446,Oct,2023-01-07 04:47:44.173297,David,Jones,Lesbian
12,111,B,432,Aug,2019-05-28 04:47:44.173297,David,Smith,Bisexual
3,179,B,304,Nov,2019-12-10 04:47:44.173297,Charlie,Smith,Pansexual
64,144,A,127,Mar,2019-08-22 04:47:44.173297,Ivy,Jones,Straight
